"id","cid","invid","pid","delid","inv_date","po_date","do_date"
"86","47","37","0","0","2023-07-30 11:11:23",,"2023-07-30 11:11:23"
"87","47","38","0","0","2023-07-30 11:21:53",,"2023-07-30 11:21:53"
"88","47","38","0","0","2023-07-30 11:21:53",,"2023-07-30 11:21:53"
"89","47","38","0","0","2023-07-30 11:21:53",,"2023-07-30 11:21:53"
"90","0","39","0","0","2023-07-30 11:52:47",,"2023-07-30 11:52:47"
"91","47","40","0","0","2023-07-30 12:12:07",,"2023-07-30 12:12:07"
"92","47","41","0","0","2023-07-30 12:41:46",,"2023-07-30 12:41:46"
"93","47","42","0","0","2023-07-30 12:51:26",,"2023-07-30 12:51:26"
"94","47","42","0","0","2023-07-30 12:51:26",,"2023-07-30 12:51:26"
"95","47","43","0","0","2023-07-30 13:00:54",,"2023-07-30 13:00:54"
"96","47","44","0","0","2023-07-30 13:31:05",,"2023-07-30 13:31:05"
"97","47","45","0","0","2023-07-30 14:08:34",,"2023-07-30 14:08:34"
"98","47","45","0","0","2023-07-30 14:08:34",,"2023-07-30 14:08:34"
"99","47","45","0","0","2023-07-30 14:08:34",,"2023-07-30 14:08:34"
"100","47","46","0","0","2023-07-30 14:26:20",,"2023-07-30 14:26:20"
"101","47","47","0","0","2023-07-30 14:30:22",,"2023-07-30 14:30:22"
"102","47","48","0","0","2023-07-30 14:34:10",,"2023-07-30 14:34:10"
"103","47","48","0","0","2023-07-30 14:34:10",,"2023-07-30 14:34:10"
"104","47","48","0","0","2023-07-30 14:34:10",,"2023-07-30 14:34:10"
"105","47","49","0","0","2023-07-30 14:38:19",,"2023-07-30 14:38:19"
"106","47","49","0","0","2023-07-30 14:38:19",,"2023-07-30 14:38:19"
"107","47","50","0","0","2023-07-30 14:41:23",,"2023-07-30 14:41:23"
"108","47","50","0","0","2023-07-30 14:41:23",,"2023-07-30 14:41:23"
"109","47","51","0","0","2023-07-30 14:46:28",,"2023-07-30 14:46:28"
"110","47","52","0","0","2023-07-30 14:47:47",,"2023-07-30 14:47:47"
"111","47","53","0","0","2023-07-30 15:12:19",,"2023-07-30 15:12:19"
"112","47","53","0","0","2023-07-30 15:12:19",,"2023-07-30 15:12:19"
"113","47","54","0","0","2023-07-30 15:52:25",,"2023-07-30 15:52:25"
"114","47","55","0","0","2023-07-30 15:59:12",,"2023-07-30 15:59:12"
"115","47","56","0","0","2023-07-30 16:11:46",,"2023-07-30 16:11:46"
"116","47","57","0","0","2023-07-30 16:17:43",,"2023-07-30 16:17:43"
"117","47","58","0","0","2023-07-30 17:52:01",,"2023-07-30 17:52:01"
"118","47","58","0","0","2023-07-30 17:52:01",,"2023-07-30 17:52:01"
"119","47","59","0","0","2023-07-30 18:16:43",,"2023-07-30 18:16:43"
"120","47","60","0","0","2023-07-30 18:54:31",,"2023-07-30 18:54:31"
"121","50","61","0","0","2023-09-02 14:37:36",,"2023-09-02 14:37:36"
"122","0","62","0","0","2023-09-03 12:19:56",,"2023-09-03 12:19:56"
"123","0","63","0","0","2023-09-03 12:47:47",,"2023-09-03 12:47:47"
"124","0","64","0","0","2023-09-03 13:54:08",,"2023-09-03 13:54:08"
"125","0","65","0","0","2023-09-03 14:07:03",,"2023-09-03 14:07:03"
"126","0","66","0","0","2023-09-03 14:08:01",,"2023-09-03 14:08:01"
"127","0","67","0","0","2023-09-03 14:11:40",,"2023-09-03 14:11:40"
"128","0","68","0","0","2023-09-03 14:11:47",,"2023-09-03 14:11:47"
"129","0","69","0","0","2023-09-03 14:12:10",,"2023-09-03 14:12:10"
"130","0","70","0","0","2023-09-03 14:15:46",,"2023-09-03 14:15:46"
"131","0","71","0","0","2023-09-03 14:19:20",,"2023-09-03 14:19:20"
"132","0","72","0","0","2023-09-03 14:25:46",,"2023-09-03 14:25:46"
"133","0","72","0","0","2023-09-03 14:25:46",,"2023-09-03 14:25:46"
"134","0","73","0","0","2023-09-03 14:59:32",,"2023-09-03 14:59:32"
"135","0","74","0","0","2023-09-03 15:45:22",,"2023-09-03 15:45:22"
"136","0","75","0","0","2023-09-03 16:09:11",,"2023-09-03 16:09:11"
"137","0","76","0","0","2023-09-08 18:05:14",,"2023-09-08 18:05:14"
"138","52","80","0","0","2023-11-07 10:49:53",,"2023-11-07 10:49:53"
"139","0","81","0","0","2023-11-07 12:05:13",,"2023-11-07 12:05:13"
"140","0","82","0","0","2023-11-07 12:43:21",,"2023-11-07 12:43:21"
"141","0","82","0","0","2023-11-07 12:43:21",,"2023-11-07 12:43:21"
"142","0","82","0","0","2023-11-07 12:43:21",,"2023-11-07 12:43:21"
"143","54","83","0","0","2023-11-07 12:54:41",,"2023-11-07 12:54:41"
"144","54","83","0","0","2023-11-07 12:54:41",,"2023-11-07 12:54:41"
"145","54","83","0","0","2023-11-07 12:54:41",,"2023-11-07 12:54:41"
"146","55","84","0","0","2023-11-07 13:03:42",,"2023-11-07 13:03:42"
"147","55","84","0","0","2023-11-07 13:03:42",,"2023-11-07 13:03:42"
"148","55","84","0","0","2023-11-07 13:03:42",,"2023-11-07 13:03:42"
"149","55","84","0","0","2023-11-07 13:03:42",,"2023-11-07 13:03:42"
"150","55","84","0","0","2023-11-07 13:03:42",,"2023-11-07 13:03:42"
"151","55","84","0","0","2023-11-07 13:03:42",,"2023-11-07 13:03:42"
"152","55","84","0","0","2023-11-07 13:03:42",,"2023-11-07 13:03:42"
"153","57","85","0","0","2023-11-08 14:36:09",,"2023-11-08 14:36:09"
"154","57","85","0","0","2023-11-08 14:36:09",,"2023-11-08 14:36:09"
"155","57","85","0","0","2023-11-08 14:36:09",,"2023-11-08 14:36:09"
"156","57","85","0","0","2023-11-08 14:36:09",,"2023-11-08 14:36:09"
"157","57","85","0","0","2023-11-08 14:36:09",,"2023-11-08 14:36:09"
"158","57","85","0","0","2023-11-08 14:36:09",,"2023-11-08 14:36:09"
"159","57","85","0","0","2023-11-08 14:36:09",,"2023-11-08 14:36:09"
"160","59","86","0","0","2023-11-08 14:49:58",,"2023-11-08 14:49:58"
"161","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"162","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"163","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"164","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"165","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"166","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"167","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"168","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"169","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"170","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"171","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"172","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"173","60","87","0","0","2023-11-09 10:45:33",,"2023-11-09 10:45:33"
"174","61","88","0","0","2023-11-09 10:53:30",,"2023-11-09 10:53:30"
"175","61","88","0","0","2023-11-09 10:53:30",,"2023-11-09 10:53:30"
"176","61","88","0","0","2023-11-09 10:53:30",,"2023-11-09 10:53:30"
"177","61","88","0","0","2023-11-09 10:53:30",,"2023-11-09 10:53:30"
"178","50","89","0","0","2023-11-10 10:41:55",,"2023-11-10 10:41:55"
"179","63","90","0","0","2023-11-10 10:45:57",,"2023-11-10 10:45:57"
"180","64","91","0","0","2023-11-17 11:56:53",,"2023-11-17 11:56:53"
"181","0","92","0","0","2023-11-20 23:49:31",,"2023-11-20 23:49:31"
"182","0","93","0","0","2023-11-21 23:48:40",,"2023-11-21 23:48:40"
"183","68","94","0","0","2023-11-25 17:09:44",,"2023-11-25 17:09:44"
"184","68","94","0","0","2023-11-25 17:09:44",,"2023-11-25 17:09:44"
"185","68","94","0","0","2023-11-25 17:09:44",,"2023-11-25 17:09:44"
"186","68","94","0","0","2023-11-25 17:09:44",,"2023-11-25 17:09:44"
"187","68","94","0","0","2023-11-25 17:09:44",,"2023-11-25 17:09:44"
"188","71","95","0","0","2023-11-27 12:07:49",,"2023-11-27 12:07:49"
"189","72","96","0","0","2023-11-27 14:06:34",,"2023-11-27 14:06:34"
"190","72","97","0","0","2023-11-27 14:14:54",,"2023-11-27 14:14:54"
"191","72","98","0","0","2023-11-27 14:19:45",,"2023-11-27 14:19:45"
"192","72","99","0","0","2023-11-27 15:02:44",,"2023-11-27 15:02:44"
"193","0","100","0","0","2023-11-28 00:08:50",,"2023-11-28 00:08:50"
"194","72","101","0","0","2023-11-28 10:41:43",,"2023-11-28 10:41:43"
"195","73","102","0","0","2023-11-28 11:17:42",,"2023-11-28 11:17:42"
"196","60","103","0","0","2023-11-29 15:12:24",,"2023-11-29 15:12:24"
"197","60","103","0","0","2023-11-29 15:12:24",,"2023-11-29 15:12:24"
"198","60","103","0","0","2023-11-29 15:12:24",,"2023-11-29 15:12:24"
"199","53","104","0","0","2023-12-04 15:26:10",,"2023-12-04 15:26:10"
"200","52","105","0","0","2023-12-05 10:58:37",,"2023-12-05 10:58:37"
"201","76","106","0","0","2023-12-07 16:27:32",,"2023-12-07 16:27:32"
"202","66","111","0","0","2023-12-13 12:27:14",,"2023-12-13 12:27:14"
"203","0","112","0","0","2023-12-13 23:50:27",,"2023-12-13 23:50:27"
"204","0","112","0","0","2023-12-13 23:50:27",,"2023-12-13 23:50:27"
"205","0","113","0","0","2023-12-14 11:16:52",,"2023-12-14 11:16:52"
"206","0","114","0","0","2023-12-15 11:43:04",,"2023-12-15 11:43:04"
"207","0","115","0","0","2023-12-15 11:46:09",,"2023-12-15 11:46:09"
"208","65","116","0","0","2023-12-15 18:11:28",,"2023-12-15 18:11:28"
"209","65","117","0","0","2023-12-16 10:13:47",,"2023-12-16 10:13:47"
"210","65","118","0","0","2023-12-16 12:47:04",,"2023-12-16 12:47:04"
"211","65","119","0","0","2023-12-16 16:37:20",,"2023-12-16 16:37:20"
"212","69","120","0","0","2024-01-04 10:49:30",,"2024-01-04 10:49:30"
"213","53","121","0","0","2024-01-04 11:00:03",,"2024-01-04 11:00:03"
"214","73","122","0","0","2024-01-04 11:03:14",,"2024-01-04 11:03:14"
"215","53","123","0","0","2024-01-04 11:05:15",,"2024-01-04 11:05:15"
"216","77","124","0","0","2024-01-04 11:08:12",,"2024-01-04 11:08:12"
"217","78","125","0","0","2024-01-04 11:11:28",,"2024-01-04 11:11:28"
"218","64","126","0","0","2024-01-04 11:15:02",,"2024-01-04 11:15:02"
"219","79","127","0","0","2024-01-04 11:23:58",,"2024-01-04 11:23:58"
"220","70","128","0","0","2024-01-04 11:29:10",,"2024-01-04 11:29:10"
"221","69","129","0","0","2024-01-04 11:30:49",,"2024-01-04 11:30:49"
"222","73","130","0","0","2024-01-04 11:32:16",,"2024-01-04 11:32:16"
"223","68","131","0","0","2024-01-04 11:42:00",,"2024-01-04 11:42:00"
"224","60","132","0","0","2024-01-04 11:44:53",,"2024-01-04 11:44:53"
"225","80","133","0","0","2024-01-04 12:24:52",,"2024-01-04 12:24:52"
"226","77","134","0","0","2024-01-04 12:26:01",,"2024-01-04 12:26:01"
"227","69","135","0","0","2024-01-04 12:28:12",,"2024-01-04 12:28:12"
"228","53","136","0","0","2024-01-04 12:32:19",,"2024-01-04 12:32:19"
"229","60","137","0","0","2024-01-04 15:29:31",,"2024-01-04 15:29:31"
"230","81","138","0","0","2024-01-04 15:47:20",,"2024-01-04 15:47:20"
"231","82","139","0","0","2024-01-04 15:52:35",,"2024-01-04 15:52:35"
"232","83","140","0","0","2024-01-04 15:55:20",,"2024-01-04 15:55:20"
"233","53","141","0","0","2024-01-05 15:12:04",,"2024-01-05 15:12:04"
"234","84","142","0","0","2024-01-05 15:15:39",,"2024-01-05 15:15:39"
"235","83","143","0","0","2024-01-05 15:31:34",,"2024-01-05 15:31:34"
"236","85","144","0","0","2024-01-05 15:45:08",,"2024-01-05 15:45:08"
"237","86","145","0","0","2024-01-05 15:49:12",,"2024-01-05 15:49:12"
"238","87","146","0","0","2024-01-05 15:52:25",,"2024-01-05 15:52:25"
"239","88","147","0","0","2024-01-05 15:55:01",,"2024-01-05 15:55:01"
"240","76","148","0","0","2024-01-05 15:56:14",,"2024-01-05 15:56:14"
"241","87","149","0","0","2024-01-05 15:57:39",,"2024-01-05 15:57:39"
"242","0","150","0","0","2024-01-06 16:12:40",,"2024-01-06 16:12:40"
"243","0","151","0","0","2024-01-06 16:15:15",,"2024-01-06 16:15:15"
"244","89","152","0","0","2024-01-06 16:32:07",,"2024-01-06 16:32:07"
"245","89","152","0","0","2024-01-06 16:32:07",,"2024-01-06 16:32:07"
"246","89","153","0","0","2024-01-06 16:36:04",,"2024-01-06 16:36:04"
"247","89","153","0","0","2024-01-06 16:36:04",,"2024-01-06 16:36:04"
"248","90","154","0","0","2024-01-06 16:37:24",,"2024-01-06 16:37:24"
"249","90","154","0","0","2024-01-06 16:37:24",,"2024-01-06 16:37:24"
"250","83","155","0","0","2024-01-08 11:26:33",,"2024-01-08 11:26:33"
"251","91","156","0","0","2024-01-08 11:29:24",,"2024-01-08 11:29:24"
"252","91","157","0","0","2024-01-08 11:32:03",,"2024-01-08 11:32:03"
"253","92","158","0","0","2024-01-08 15:34:27",,"2024-01-08 15:34:27"
"254","85","159","0","0","2024-01-10 10:47:37",,"2024-01-10 10:47:37"
"255","55","160","0","0","2024-01-10 10:50:26",,"2024-01-10 10:50:26"
"256","52","161","0","0","2024-01-10 11:32:12",,"2024-01-10 11:32:12"
"257","93","162","0","0","2024-01-13 10:42:40",,"2024-01-13 10:42:40"
"258","53","163","0","0","2024-01-18 12:18:54",,"2024-01-18 12:18:54"
"259","53","163","0","0","2024-01-18 12:18:54",,"2024-01-18 12:18:54"
"260","94","164","0","0","2024-01-18 12:24:54",,"2024-01-18 12:24:54"
"261","94","164","0","0","2024-01-18 12:24:54",,"2024-01-18 12:24:54"
"262","95","165","0","0","2024-01-22 11:08:07",,"2024-01-22 11:08:07"
"263","95","165","0","0","2024-01-22 11:08:07",,"2024-01-22 11:08:07"
"264","95","166","0","0","2024-01-22 17:46:01",,"2024-01-22 17:46:01"
"265","95","166","0","0","2024-01-22 17:46:01",,"2024-01-22 17:46:01"
"266","95","167","0","0","2024-01-22 17:49:07",,"2024-01-22 17:49:07"
"267","95","167","0","0","2024-01-22 17:49:07",,"2024-01-22 17:49:07"
"268","96","168","0","0","2024-01-23 17:34:08",,"2024-01-23 17:34:08"
"269","96","168","0","0","2024-01-23 17:34:08",,"2024-01-23 17:34:08"
"270","97","169","0","0","2024-02-02 16:02:19",,"2024-02-02 16:02:19"
"271","95","170","0","0","2024-02-05 13:15:02",,"2024-02-05 13:15:02"
"272","95","170","0","0","2024-02-05 13:15:02",,"2024-02-05 13:15:02"
"273","95","170","0","0","2024-02-05 13:15:02",,"2024-02-05 13:15:02"
"274","95","170","0","0","2024-02-05 13:15:02",,"2024-02-05 13:15:02"
"275","95","170","0","0","2024-02-05 13:15:02",,"2024-02-05 13:15:02"
"276","95","171","0","0","2024-02-05 14:23:00",,"2024-02-05 14:23:00"
"277","95","171","0","0","2024-02-05 14:23:00",,"2024-02-05 14:23:00"
"278","95","171","0","0","2024-02-05 14:23:00",,"2024-02-05 14:23:00"
"279","95","171","0","0","2024-02-05 14:23:00",,"2024-02-05 14:23:00"
"280","95","171","0","0","2024-02-05 14:23:00",,"2024-02-05 14:23:00"
"281","99","172","0","0","2024-02-06 16:04:49",,"2024-02-06 16:04:49"
"282","99","172","0","0","2024-02-06 16:04:49",,"2024-02-06 16:04:49"
"283","99","173","0","0","2024-02-06 16:13:44",,"2024-02-06 16:13:44"
"284","99","173","0","0","2024-02-06 16:13:44",,"2024-02-06 16:13:44"
"285","100","174","0","0","2024-02-06 16:23:06",,"2024-02-06 16:23:06"
"286","100","174","0","0","2024-02-06 16:23:06",,"2024-02-06 16:23:06"
"287","93","175","0","0","2024-02-17 09:49:52",,"2024-02-17 09:49:52"
"288","93","175","0","0","2024-02-17 09:49:52",,"2024-02-17 09:49:52"
"289","102","176","0","0","2024-02-19 12:48:18",,"2024-02-19 12:48:18"
"290","102","176","0","0","2024-02-19 12:48:18",,"2024-02-19 12:48:18"
"291","102","176","0","0","2024-02-19 12:48:18",,"2024-02-19 12:48:18"
"292","96","177","0","0","2024-02-21 16:29:04",,"2024-02-21 16:29:04"
"293","96","177","0","0","2024-02-21 16:29:04",,"2024-02-21 16:29:04"
"294","103","178","0","0","2024-02-22 11:05:20",,"2024-02-22 11:05:20"
"295","103","178","0","0","2024-02-22 11:05:20",,"2024-02-22 11:05:20"
"296","103","178","0","0","2024-02-22 11:05:20",,"2024-02-22 11:05:20"
"297","104","179","0","0","2024-02-22 11:10:43",,"2024-02-22 11:10:43"
"298","104","179","0","0","2024-02-22 11:10:43",,"2024-02-22 11:10:43"
"299","104","179","0","0","2024-02-22 11:10:43",,"2024-02-22 11:10:43"
"300","0","180","0","0","2024-02-24 10:49:41",,"2024-02-24 10:49:41"
"301","0","180","0","0","2024-02-24 10:49:41",,"2024-02-24 10:49:41"
"302","0","180","0","0","2024-02-24 10:49:41",,"2024-02-24 10:49:41"
"303","105","181","0","0","2024-02-24 10:51:43",,"2024-02-24 10:51:43"
"304","105","181","0","0","2024-02-24 10:51:43",,"2024-02-24 10:51:43"
"305","105","181","0","0","2024-02-24 10:51:43",,"2024-02-24 10:51:43"
"306","89","182","0","0","2024-03-02 11:18:57",,"2024-03-02 11:18:57"
"307","89","182","0","0","2024-03-02 11:18:57",,"2024-03-02 11:18:57"
"308","90","183","0","0","2024-03-02 11:30:06",,"2024-03-02 11:30:06"
"309","90","183","0","0","2024-03-02 11:30:06",,"2024-03-02 11:30:06"
"310","0","184","0","0","2024-03-09 17:49:13",,"2024-03-09 17:49:13"
"311","0","184","0","0","2024-03-09 17:49:13",,"2024-03-09 17:49:13"
"312","106","185","0","0","2024-03-09 17:50:36",,"2024-03-09 17:50:36"
"313","106","185","0","0","2024-03-09 17:50:36",,"2024-03-09 17:50:36"
"314","105","186","0","0","2024-03-11 14:33:12",,"2024-03-11 14:33:12"
"315","105","186","0","0","2024-03-11 14:33:12",,"2024-03-11 14:33:12"
"316","105","186","0","0","2024-03-11 14:33:12",,"2024-03-11 14:33:12"
"317","105","186","0","0","2024-03-11 14:33:12",,"2024-03-11 14:33:12"
"318","107","187","0","0","2024-03-12 17:23:09",,"2024-03-12 17:23:09"
"319","107","187","0","0","2024-03-12 17:23:09",,"2024-03-12 17:23:09"
"320","108","188","0","0","2024-03-25 15:58:58",,"2024-03-25 15:58:58"
"321","108","188","0","0","2024-03-25 15:58:58",,"2024-03-25 15:58:58"
"322","108","188","0","0","2024-03-25 15:58:58",,"2024-03-25 15:58:58"
"323","108","188","0","0","2024-03-25 15:58:58",,"2024-03-25 15:58:58"
"324","108","188","0","0","2024-03-25 15:58:58",,"2024-03-25 15:58:58"
"325","93","189","0","0","2024-03-26 14:55:49",,"2024-03-26 14:55:49"
"326","93","189","0","0","2024-03-26 14:55:49",,"2024-03-26 14:55:49"
"327","93","189","0","0","2024-03-26 14:55:49",,"2024-03-26 14:55:49"
"328","93","189","0","0","2024-03-26 14:55:49",,"2024-03-26 14:55:49"
"329","93","189","0","0","2024-03-26 14:55:49",,"2024-03-26 14:55:49"
"330","93","189","0","0","2024-03-26 14:55:49",,"2024-03-26 14:55:49"
"331","93","189","0","0","2024-03-26 14:55:49",,"2024-03-26 14:55:49"
"332","93","189","0","0","2024-03-26 14:55:49",,"2024-03-26 14:55:49"
"333","93","189","0","0","2024-03-26 14:55:49",,"2024-03-26 14:55:49"
"334","109","190","0","0","2024-03-26 16:14:33",,"2024-03-26 16:14:33"
"335","109","190","0","0","2024-03-26 16:14:33",,"2024-03-26 16:14:33"
"336","93","191","0","0","2024-03-26 16:18:48",,"2024-03-26 16:18:48"
"337","110","192","0","0","2024-03-28 10:40:51",,"2024-03-28 10:40:51"
"338","110","192","0","0","2024-03-28 10:40:51",,"2024-03-28 10:40:51"
"339","110","192","0","0","2024-03-28 10:40:51",,"2024-03-28 10:40:51"
"340","111","193","0","0","2024-03-28 11:45:36",,"2024-03-28 11:45:36"
"341","111","193","0","0","2024-03-28 11:45:36",,"2024-03-28 11:45:36"
"342","111","193","0","0","2024-03-28 11:45:36",,"2024-03-28 11:45:36"
"343","111","193","0","0","2024-03-28 11:45:36",,"2024-03-28 11:45:36"
"344","111","193","0","0","2024-03-28 11:45:36",,"2024-03-28 11:45:36"
"345","63","194","0","0","2024-03-28 13:25:48",,"2024-03-28 13:25:48"
"346","112","195","0","0","2024-03-28 13:41:07",,"2024-03-28 13:41:07"
"347","112","195","0","0","2024-03-28 13:41:07",,"2024-03-28 13:41:07"
"348","112","195","0","0","2024-03-28 13:41:07",,"2024-03-28 13:41:07"
